episode,score,epsilon
279,-256.1819850034354,0.00998645168764533
280,-249.06155301312538,0.00998645168764533
281,-260.5441456951146,0.00998645168764533
282,-262.93818633353845,0.00998645168764533
283,-260.43779963938283,0.00998645168764533
284,-259.9345506215782,0.00998645168764533
285,-270.0280412486668,0.00998645168764533
286,-280.0877051695474,0.00998645168764533
287,-285.04601303379593,0.00998645168764533
288,-259.4813994259452,0.00998645168764533
289,-255.3373981130066,0.00998645168764533
290,-257.75266919386144,0.00998645168764533
291,-247.40153872010862,0.00998645168764533
292,-259.00375354220256,0.00998645168764533
293,-324.7841641783808,0.00998645168764533
294,-268.70828651001364,0.00998645168764533
295,-261.04354189082505,0.00998645168764533
296,-268.74411486885384,0.00998645168764533
297,-247.29704785740978,0.00998645168764533
298,-271.9127053729359,0.00998645168764533
299,-299.66596517645854,0.00998645168764533
300,-256.99112356712584,0.00998645168764533
301,-253.26948227415681,0.00998645168764533
302,-261.2749941323345,0.00998645168764533
303,-261.1608082665151,0.00998645168764533
304,-261.44733164502316,0.00998645168764533
305,-257.9686300259084,0.00998645168764533
306,-260.5067975348041,0.00998645168764533
307,-252.17013570144857,0.00998645168764533
308,-274.2844698660385,0.00998645168764533
309,-249.96738417053092,0.00998645168764533
310,-248.51400530179407,0.00998645168764533
311,-270.6608054826962,0.00998645168764533
312,-257.40566902907693,0.00998645168764533
313,-240.30797869551174,0.00998645168764533
314,-240.63951963507327,0.00998645168764533
315,-270.0681065835674,0.00998645168764533
316,-253.37079465932578,0.00998645168764533
317,-259.1510432437484,0.00998645168764533
318,-245.47706192919597,0.00998645168764533
319,-260.70927359283667,0.00998645168764533
320,-256.8350292794242,0.00998645168764533
321,-272.4482166502463,0.00998645168764533
322,-258.45479843895816,0.00998645168764533
323,-290.2496496440082,0.00998645168764533
324,-252.34488769126017,0.00998645168764533
325,-320.93297445169765,0.00998645168764533
326,-257.5657777118753,0.00998645168764533
327,-247.31833172021084,0.00998645168764533
328,-274.6652993246397,0.00998645168764533
329,-251.85994949401427,0.00998645168764533
330,-254.87217408645213,0.00998645168764533
331,-246.70819244483187,0.00998645168764533
332,-283.7631282274427,0.00998645168764533
333,-258.7565128736711,0.00998645168764533
334,-261.97811953862174,0.00998645168764533
335,-267.31271063618135,0.00998645168764533
336,-256.5277696226964,0.00998645168764533
337,-276.332495071209,0.00998645168764533
338,-276.42252871243403,0.00998645168764533
339,-255.47043639803152,0.00998645168764533
340,-251.41832742317922,0.00998645168764533
341,-278.3049148492765,0.00998645168764533
342,-273.5350775378354,0.00998645168764533
343,-265.3317618176804,0.00998645168764533
344,-253.8946191553164,0.00998645168764533
345,-279.9559698752252,0.00998645168764533
346,-353.4073975791816,0.00998645168764533
347,-270.4800298519586,0.00998645168764533
348,-273.1971148499775,0.00998645168764533
349,-266.48154180346114,0.00998645168764533
350,-256.9433549533124,0.00998645168764533
351,-271.94201219978095,0.00998645168764533
352,-273.2509931314953,0.00998645168764533
353,-246.15672433250603,0.00998645168764533
